,artist,song_title,album,genres,lyrics,clean_lyrics,token,sentiment,score
0,Fstvlst,Gas,Fstvlst II,"indonesian indie, indonesian indie rock, yogyakarta indie","Mengingat bagaimana ini bermula, disaat sudah sejauh ini jalannya Sudah berangkat semenjak pagi merah, sampai tertelan bulat di cakrawala Bergegas terburu dan tergesa, menjadi hafalan diluar kepala Rapal lirih larik-larik doa, hirup dan hembuskan cita-cita Sementara dalam rasa, tak ada yang salah dan semua baik-baik saja Sebenarnya dalam paham, bukanlah ini rencananya Berjalan tak seperti rencana Adalah jalan yang sudah biasa Dan jalan satu-satunya Jalani sebaik-baiknya Sementara terasa baik-baik saja Walau yang sebenar-benarnya ini bukan rencananya Sudah sejauh ini jalannya, satu capai yang tidak pernah terkira Mengingat bagaimana mulanya, jauh sudah rentang dari yang terbayang Bagaimanapun juga, merawat cita-cita tak akan semudah berkata-kata Rencana berikutnya rajut lagi cerita, merapal doa, gas sekencangnya",saat jalan berangkat semenjak pagi merah tel bulat cakrawala gegas buru gesa hafal luar kepala rapal lirih larik larik doa hirup hembus cita cita salah paham rencana jalan rencana jalan jalan satu jalan baik benar benar rencana jalan capai rentang bayang rawat cita cita mudah rencana rajut cerita rapal doa gas kencang,"['saat', 'jalan', 'berangkat', 'semenjak', 'pagi', 'merah', 'tel', 'bulat', 'cakrawala', 'gegas', 'buru', 'gesa', 'hafal', 'luar', 'kepala', 'rapal', 'lirih', 'larik', 'larik', 'doa', 'hirup', 'hembus', 'cita', 'cita', 'salah', 'paham', 'rencana', 'jalan', 'rencana', 'jalan', 'jalan', 'satu', 'jalan', 'baik', 'benar', 'benar', 'rencana', 'jalan', 'capai', 'rentang', 'bayang', 'rawat', 'cita', 'cita', 'mudah', 'rencana', 'rajut', 'cerita', 'rapal', 'doa', 'gas', 'kencang']",positif,0.9285258650779724
1,Hindia,Kita Ke Sana,Lagipula Hidup Akan Berakhir,indonesian pop,"[Lirik “Kita ke Sana”][Verse 1]Rayakan hari ini Besok sisa sengsara Belum pulang, kau pun di sini Temani diriku[Verse 2]Kita bersandiwara Bicara tak semestinya Walau kita tahu nyatanya Semua tak baik saja[Chorus]Ada masanya kita Mencuri ruang dan waktu Walau pasti berlalu, biarkan saja Kita ke sana, selagi masih bisa bersama Bersama[Verse 3]Semuanya sementara Kita di ujung cerita Untuk lima menit coba kau Mengambil alih dunia",raya besok sisa sengsara pulang kau teman diri sandiwara bicara mesti masa curi ruang biar selagi ujung cerita menit coba kau ambil alih dunia,"['raya', 'besok', 'sisa', 'sengsara', 'pulang', 'kau', 'teman', 'diri', 'sandiwara', 'bicara', 'mesti', 'masa', 'curi', 'ruang', 'biar', 'selagi', 'ujung', 'cerita', 'menit', 'coba', 'kau', 'ambil', 'alih', 'dunia']",negatif,0.9951781034469604
2,The Adams,Hanya Kau,V2.05,"indonesian alternative rock, indonesian indie, indonesian indie rock",[Verse 1]Ku berjalan tiada henti'Tuk memastikan diri Mencari apa yang terbaik Di dalam hati ini[Verse 2]Tak peduli yang t'lah terjadi Tak pedulikan lagi Tanpa segala rasa ragu Di dalam hati ini[Chorus]   Hanya kau yang bisa mengubah semua'Tuk menjadi indah Hanya kau yang bisa Memastikan semua Segala yang kurasa 'Tuk menjadi indah[Verse 3]Tak mudah 'tuk bisa mencari Rasa yang telah mati Namun asa telah menanti Di dalam hati ini[Chorus]   Hanya kau yang bisa mengubah semua'Tuk menjadi indah Hanya kau yang bisa Memastikan semua Segala yang kurasa 'Tuk menjadi indah[Instrumental][Chorus]   Hanya kau yang bisa mengubah semua'Tuk menjadi indah Hanya kau yang bisa Memastikan semua Segala yang kurasa 'Tuk menjadi indah,ku jalan tiada henti tuk cari baik hati peduli peduli ragu hati kau ubah tuk indah kau rasa tuk indah mudah tuk cari mati asa hati kau ubah tuk indah kau rasa tuk indah kau ubah tuk indah kau rasa tuk indah,"['ku', 'jalan', 'tiada', 'henti', 'tuk', 'cari', 'baik', 'hati', 'peduli', 'peduli', 'ragu', 'hati', 'kau', 'ubah', 'tuk', 'indah', 'kau', 'rasa', 'tuk', 'indah', 'mudah', 'tuk', 'cari', 'mati', 'asa', 'hati', 'kau', 'ubah', 'tuk', 'indah', 'kau', 'rasa', 'tuk', 'indah', 'kau', 'ubah', 'tuk', 'indah', 'kau', 'rasa', 'tuk', 'indah']",positif,0.9971553087234497
3,Morfem,Megah Diterima,Megah Diterima,"indonesian indie, indonesian indie rock, indonesian rock",Hujan mereda Ketika dia Percik air membumi Derap langkah kaki Lalu terbuka Kisah cerita Menebar warna wangi Mengalun bak nada Inilah rhymanya Megah bila terasa Merasuk merayu Melambung selalu Dan ketika rhymanya Megah kita terima Melesat kian jauh Membekas membiru Membiru Malam meronta Derai tawanya Sirna angin kian dingin Kerlip bintang kecil Lalu bersua Serasi nada Seakan tiada cela Melamunkan rona Inilah rhymanya Megah bila terasa Merasuk merayu Melambung selalu Dan ketika rhymanya Megah kita terima Melesat kian jauh Membekas membiru Dan halilintar Kilat menyambar ketika Dia beranjak Melangkah hilang Meredup suasana Inilah rhymanya Megah bila terasa Merasuk merayu Melambung selalu Dan ketika rhymanya Megah kita terima Melesat kian jauh Membekas membiru,hujan reda percik air bumi derap langkah kaki buka kisah cerita tebar warna wangi alun bak nada rhymanya megah rasuk rayu lambung rhymanya megah terima lesat kian bekas biru biru malam ronta derai tawa sirna angin kian dingin kerlip bintang sua serasi nada akan tiada cela lamun rona rhymanya megah rasuk rayu lambung rhymanya megah terima lesat kian bekas biru halilintar kilat sambar anjak lang hilang redup suasana rhymanya megah rasuk rayu lambung rhymanya megah terima lesat kian bekas biru,"['hujan', 'reda', 'percik', 'air', 'bumi', 'derap', 'langkah', 'kaki', 'buka', 'kisah', 'cerita', 'tebar', 'warna', 'wangi', 'alun', 'bak', 'nada', 'rhymanya', 'megah', 'rasuk', 'rayu', 'lambung', 'rhymanya', 'megah', 'terima', 'lesat', 'kian', 'bekas', 'biru', 'biru', 'malam', 'ronta', 'derai', 'tawa', 'sirna', 'angin', 'kian', 'dingin', 'kerlip', 'bintang', 'sua', 'serasi', 'nada', 'akan', 'tiada', 'cela', 'lamun', 'rona', 'rhymanya', 'megah', 'rasuk', 'rayu', 'lambung', 'rhymanya', 'megah', 'terima', 'lesat', 'kian', 'bekas', 'biru', 'halilintar', 'kilat', 'sambar', 'anjak', 'lang', 'hilang', 'redup', 'suasana', 'rhymanya', 'megah', 'rasuk', 'rayu', 'lambung', 'rhymanya', 'megah', 'terima', 'lesat', 'kian', 'bekas', 'biru']",positif,0.9459946751594543
4,Perunggu,33x,Memorandum,"indonesian indie, indonesian indie rock","[Lirik ""33x""][Verse 1]Risalah terikatnya, batin dan raga yang mengunci Di atas Sang Maha Daya semua kendali terambil alih Jikalau kau keluhkan dengung sumbang yang mengganggu Buka lagi visimu, kau tahu mana urutan satu[Chorus]Di antara pusaran nirfungsi Petakan semua lagi, titik tuju yang t'lah terpatri Melamban bukanlah hal yang tabu Kadang itu yang kau butuh, bersandar hibahkan bebanmu[Verse 2]Rotasikan pandanganmu, ambil sudut yang terbaru Belum pernah kau coba lihat semua bukan dari matamu Kelak kau kan mengingat yang membawamu ke sini Kami pernah di situ, di posisimu, helakan kesahmu[Chorus]Di antara pusaran nirfungsi Petakan semua lagi, titik tuju yang t'lah terpatri Melamban bukanlah hal yang tabu Kadang itu yang kau butuh, bersandar hibahkan bebanmu Tak perlu kau berhenti kurasi Ini hanya sementara, bukan ujung dari rencana Jalanmu kan sepanjang niatmu Simpan tegar dalam hati, dua sembilan kau t'rus mencari",x risalah ikat batin raga kunci sang maha daya kendali ambil alih kau keluh dengung sumbang ganggu buka visi kau urut pusar nirfungsi peta titik tuju patri lamban tabu kadang kau butuh sandar hibah beban rotasi pandang ambil sudut baru kau coba lihat mata kelak kau bawa situ posisi hela kesah pusar nirfungsi peta titik tuju patri lamban tabu kadang kau butuh sandar hibah beban kau henti kuras ujung rencana jalan niat simpan tegar hati sembilan kau rus cari,"['x', 'risalah', 'ikat', 'batin', 'raga', 'kunci', 'sang', 'maha', 'daya', 'kendali', 'ambil', 'alih', 'kau', 'keluh', 'dengung', 'sumbang', 'ganggu', 'buka', 'visi', 'kau', 'urut', 'pusar', 'nirfungsi', 'peta', 'titik', 'tuju', 'patri', 'lamban', 'tabu', 'kadang', 'kau', 'butuh', 'sandar', 'hibah', 'beban', 'rotasi', 'pandang', 'ambil', 'sudut', 'baru', 'kau', 'coba', 'lihat', 'mata', 'kelak', 'kau', 'bawa', 'situ', 'posisi', 'hela', 'kesah', 'pusar', 'nirfungsi', 'peta', 'titik', 'tuju', 'patri', 'lamban', 'tabu', 'kadang', 'kau', 'butuh', 'sandar', 'hibah', 'beban', 'kau', 'henti', 'kuras', 'ujung', 'rencana', 'jalan', 'niat', 'simpan', 'tegar', 'hati', 'sembilan', 'kau', 'rus', 'cari']",negatif,0.9909449815750122
5,Hindia,Cincin,Lagipula Hidup Akan Berakhir,indonesian pop,"[Lirik “Cincin”][Verse 1]Kau bermasalah jiwa, aku pun rada gila Jodoh akal-akalan neraka, kita bersama Kau langganan menangis, lakimu muntah-muntah Begitu terus sampai Iblis tobat dan sedekah[Verse 2]Terkadang rasanya leher terbakar hingga pagi Seperti aku hidup berpasangan dengan api Berhenti, ulangi, psikolog dan terapi Aku isi bensin, kita coba lagi[Pre-Chorus]Tapi sebelumnya, sejuta sayang untukmu, cinta Karena aku pun bola panas juga, kadang lebih atau sama parahnya Dan jika bicara tentang masa depan, aku pun bingung, tak punya tebakan Lagu cinta untuk akhir dunia, lihat kami nyanyikan ini bersama[Chorus]Semoga hidup kita terus begini-gini saja Walau sungai meluap dan kurs tak masuk logika Semoga kita mencintai apa adanya Walau katanya sekarang ku bisa masuk penjara",cincin kau masalah jiwa rada gila jodoh akal akal neraka kau langgan menang laki muntah muntah iblis tobat sedekah terkadang leher bakar pagi hidup pasang api henti ulang psikolog terapi isi bensin coba juta sayang untuk cinta bola panas kadang parah bicara bingung tebak lagu cinta dunia lihat nyanyi moga hidup gin sungai luap kurs masuk logika moga cinta ku masuk penjara,"['cincin', 'kau', 'masalah', 'jiwa', 'rada', 'gila', 'jodoh', 'akal', 'akal', 'neraka', 'kau', 'langgan', 'menang', 'laki', 'muntah', 'muntah', 'iblis', 'tobat', 'sedekah', 'terkadang', 'leher', 'bakar', 'pagi', 'hidup', 'pasang', 'api', 'henti', 'ulang', 'psikolog', 'terapi', 'isi', 'bensin', 'coba', 'juta', 'sayang', 'untuk', 'cinta', 'bola', 'panas', 'kadang', 'parah', 'bicara', 'bingung', 'tebak', 'lagu', 'cinta', 'dunia', 'lihat', 'nyanyi', 'moga', 'hidup', 'gin', 'sungai', 'luap', 'kurs', 'masuk', 'logika', 'moga', 'cinta', 'ku', 'masuk', 'penjara']",negatif,0.995383083820343
6,The Adams,Timur,Agterplaas,"indonesian alternative rock, indonesian indie, indonesian indie rock","Lirik ""Timur""[Verse 1]Masa depan kadang menakutkan Penuh dengan ketidakpastian Lebih mudah jika tak dipikirkan Kita bisa membuat rencana Untuk sekian tahun ke depan Tapi percuma jika selesai di tengah jalan[Chorus]Namun tiap kudengar namamu Makin terbayang masa depanku Semakin jelas tujuan Dan yang ku harus lakukan Saat aku dan kamu bicara Tentang harapan dan cita-cita Semua yang kita damba Akan terasa seperti Amat nyata[Verse 2]Kadang kita takkan mendapatkan Yang diinginkan dan dimimpikan Semua usaha hanya sia-sia",timur kadang takut penuh ketidakpastian mudah pikir rencana sekian selesai jalan dengar nama bayang depan tuju ku laku bicara harap cita cita damba nyata kadang tak mimpi usaha sia sia,"['timur', 'kadang', 'takut', 'penuh', 'ketidakpastian', 'mudah', 'pikir', 'rencana', 'sekian', 'selesai', 'jalan', 'dengar', 'nama', 'bayang', 'depan', 'tuju', 'ku', 'laku', 'bicara', 'harap', 'cita', 'cita', 'damba', 'nyata', 'kadang', 'tak', 'mimpi', 'usaha', 'sia', 'sia']",positif,0.6259127855300903
7,Fstvlst,Menantang Rasi Bintang,Hits Kitsch,"indonesian indie, indonesian indie rock, yogyakarta indie","[Lirik ""Menantang Rasi Bintang""]Menantang rasi bintang Membalik garis tangan Menarikan cerita Menuliskan lagi puisi Yang mulai kehilangan rimanya Memotong awan pekat gelap Melintang tepat di jantungnya Terburailah darah cahaya Yang lama terhalang gelapnya Silau berkilauan terangnya Benderang Tenang sebentar mengendapkan Uraikan simpul kacaunya Diam sebentar membedakan Yang teringinkan dan dibutuhkan Hidup itu sekali Dan mati itu pasti Bisa jadi nanti Atau setelah ini Coba tulis ulang lagi Yang sejatinya kau cari",tantang rasi bintang tantang rasi bintang balik garis tangan tari cerita tulis puisi hilang rima potong awan pekat gelap lintang jantung bura darah cahaya halang gelap silau kilau terang benderang tenang sebentar endap urai simpul kacau diam sebentar beda ingin butuh hidup mati coba tulis ulang sejati kau cari,"['tantang', 'rasi', 'bintang', 'tantang', 'rasi', 'bintang', 'balik', 'garis', 'tangan', 'tari', 'cerita', 'tulis', 'puisi', 'hilang', 'rima', 'potong', 'awan', 'pekat', 'gelap', 'lintang', 'jantung', 'bura', 'darah', 'cahaya', 'halang', 'gelap', 'silau', 'kilau', 'terang', 'benderang', 'tenang', 'sebentar', 'endap', 'urai', 'simpul', 'kacau', 'diam', 'sebentar', 'beda', 'ingin', 'butuh', 'hidup', 'mati', 'coba', 'tulis', 'ulang', 'sejati', 'kau', 'cari']",negatif,0.9926978945732117
8,Perunggu,Canggih,Memorandum,"indonesian indie, indonesian indie rock","[Lirik ""Canggih!""][Verse 1]Menyaksikan kiprah canggihmu Kuasai badai kritikan Tak hentikan, tak sedikit pun Kau terlihat gamang menelan Yang kulihat sorotan tajam Arsir dan jejak kau torehkan Kuputuskan mengagumimu Kukoleksi semua rilisan[Pre-Chorus]Kumpulan suasana terekam Semburat sinar bermunculan Kuakui kau sang perdana Pemecah jalan keluar[Chorus]Tersajikan riuh nada dan hening Mendulang jutaan tanya Tentang gitar yang menggila Bisa terdengar jelas Kau nyanyikan semua yang kau rasa Jadi juga kurasa Tentang cinta, tentang nista Tentang entahlah apa saja",canggih saksi kiprah canggih kuasa badai kritik henti kau gamang tel lihat sorot tajam arsir jejak kau toreh putus kagum koleksi rilis kumpul suasana rekam semburat sinar muncul aku kau sang perdana pecah jalan saji riuh nada hening dulang juta gitar gila dengar kau nyanyi kau rasa cinta nista,"['canggih', 'saksi', 'kiprah', 'canggih', 'kuasa', 'badai', 'kritik', 'henti', 'kau', 'gamang', 'tel', 'lihat', 'sorot', 'tajam', 'arsir', 'jejak', 'kau', 'toreh', 'putus', 'kagum', 'koleksi', 'rilis', 'kumpul', 'suasana', 'rekam', 'semburat', 'sinar', 'muncul', 'aku', 'kau', 'sang', 'perdana', 'pecah', 'jalan', 'saji', 'riuh', 'nada', 'hening', 'dulang', 'juta', 'gitar', 'gila', 'dengar', 'kau', 'nyanyi', 'kau', 'rasa', 'cinta', 'nista']",negatif,0.9611165523529053
9,Hindia,Besok Mungkin Kita Sampai,Menari Dengan Bayangan,indonesian pop,"[Lirik ""Besok Mungkin Kita Sampai""][Verse 1: Hindia]Luka silet di pipi Sakitnya setengah mati Kubawa bekasnya sampai mati Setidaknya ku tak takut darah lagi Mengikuti sepak bola Dan transfer pemain di berita Tapi masuk klub fotografi Karena kaki tak hebat menari Enggan masuk SMAHingga malam di Brawijaya Menunggu pembebasan M'reka tak paham yang kita wariskan Stella bertemu pasangannya Adrian ke Australia Kawan-kawan pergi S-2Namun tujuanku belum tiba[Chorus: Hindia, Natasha Udu, Hindia & Udu ]Tak ada yang tahu Kapan kau mencapai tuju(Ooh, ooh, ooh, ooh) dan percayalah bukan urusanmu untuk menjawab itu Bersender pada waktu",besok hindia luka silet pipi sakit mati bawa bekas mati ku takut darah ikut sepak bola transfer main berita masuk klub fotografi kaki hebat tari enggan masuk smahingga malam brawijaya tunggu bebas reka paham waris stella temu pasang adrian australia kawan kawan pergi tuju hindia natasha udu hindia udu kau capai tuju percaya urus sender,"['besok', 'hindia', 'luka', 'silet', 'pipi', 'sakit', 'mati', 'bawa', 'bekas', 'mati', 'ku', 'takut', 'darah', 'ikut', 'sepak', 'bola', 'transfer', 'main', 'berita', 'masuk', 'klub', 'fotografi', 'kaki', 'hebat', 'tari', 'enggan', 'masuk', 'smahingga', 'malam', 'brawijaya', 'tunggu', 'bebas', 'reka', 'paham', 'waris', 'stella', 'temu', 'pasang', 'adrian', 'australia', 'kawan', 'kawan', 'pergi', 'tuju', 'hindia', 'natasha', 'udu', 'hindia', 'udu', 'kau', 'capai', 'tuju', 'percaya', 'urus', 'sender']",negatif,0.8160861134529114
